City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Hit,IQ,52.65,scattered clouds,33.6416,42.8251,صالون زيرو
549,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
550,Scarborough,GB,43.54,few clouds,54.2797,-0.4044,The Grand Hotel Scarborough
551,Dharchula,IN,48.13,overcast clouds,29.85,80.5333,Mahara Hotel
552,Castro Marim,PT,56.28,clear sky,37.2207,-7.4435,Parador de Ayamonte
553,Chinsali,ZM,62.55,overcast clouds,-10.5414,32.0816,Chisakatu Guest House
555,Acari,PE,84.27,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
558,Key Largo,US,74.01,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
559,Obidos,BR,89.19,broken clouds,-1.9175,-55.5181,Hotel Amazônia Center
562,Imbituba,BR,88.83,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
563,Baghdad,IQ,46.31,scattered clouds,33.3406,44.4009,Baghdad Hotel
564,Uige,AO,69.58,overcast clouds,-7.6087,15.0613,Hotel Catraio
566,Owerri,NG,81.46,overcast clouds,5.4833,7.0304,Donamario
567,Pocri,PA,91.22,clear sky,8.2667,-80.55,Residencial D Cache
570,San Pedro De Ycuamandiyu,PY,100.76,scattered clouds,-24.0917,-57.0764,Hotel Refugio
571,Ratnagiri,IN,74.23,clear sky,16.9833,73.3,Hotel Landmark
572,Wismar,DE,40.12,overcast clouds,53.9,11.4667,Townhouse Wismar a Vagabond Club
573,Boddam,GB,41.38,few clouds,57.4667,-1.7833,Palace Hotel
574,Kantunilkin,MX,78.64,scattered clouds,21.0917,-87.45,Posada Paraiso
575,Shache,CN,30.52,overcast clouds,38.4167,77.2406,Delong Hotel
576,Bubaque,GW,79.59,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
577,Marawi,PH,66.25,broken clouds,7.9986,124.2928,Derogongan Residence
578,Rock Sound,BS,72.93,overcast clouds,24.9,-76.2,Pink Corral Bay Property
579,Senador Jose Porfirio,BR,81.27,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
582,Veranopolis,BR,96.93,scattered clouds,-28.9361,-51.5494,Verona Parque Hotel
583,Paita,PE,88.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
584,Araguacu,BR,83.59,broken clouds,-12.9306,-49.8264,Hotel Tocantins
585,Loharu,IN,54.01,clear sky,28.45,75.8167,Sainik Guest House
586,Lyuban,BY,30.22,overcast clouds,52.7985,28.0048,"Gostinitsa ""Oressa"""
587,Saint-Francois,FR,38.48,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
588,Manching,DE,40.3,few clouds,48.7166,11.4939,Hotel Landgasthof Euringer
589,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
591,Peterhead,GB,41.4,scattered clouds,57.5058,-1.7981,Palace Hotel
592,Plettenberg Bay,ZA,64.51,clear sky,-34.0527,23.3716,Thanda Vista B&B
595,Sao Pedro Da Cadeira,PT,56.28,clear sky,39.0698,-9.3717,5 Marias Guest House
596,Trairi,BR,84.87,broken clouds,-3.2778,-39.2689,janelas do mar
597,Sao Francisco De Paula,BR,91.69,broken clouds,-29.4481,-50.5836,Hotel Village da Serra
598,La Plaine,DM,82.04,scattered clouds,15.3333,-61.25,Citrus Creek Plantation
603,Olinda,BR,85.73,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
604,San Luis,AR,73.85,overcast clouds,-33.295,-66.3356,Huarpes Hotel
606,Toamasina,MG,73.4,broken clouds,-18.1667,49.3833,Hotel H1
607,Kinston,US,59.94,clear sky,35.2627,-77.5816,Hampton Inn Kinston
609,Niono,ML,79.95,clear sky,14.2526,-5.993,Hôtel Campement
610,Asfi,MA,61.23,few clouds,32.2994,-9.2372,Hôtel Abda
611,Tutoia,BR,89.58,few clouds,-2.7619,-42.2744,Pousada Guará's
612,Andapa,MG,70.68,overcast clouds,-14.65,49.65,Ramanandraibe Andapa
613,Dehloran,IR,51.33,broken clouds,32.6941,47.2679,کافه گیم استورم
615,Puerto Del Rosario,ES,65.95,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
616,Jalu,LY,55.71,clear sky,29.0331,21.5482,صاحبة الفخامة
617,Scituate,US,46.65,scattered clouds,42.1959,-70.7259,The Inn at Scituate Harbor
619,Manaure,CO,91.51,few clouds,11.7751,-72.4445,Hotel Palaaima
620,Ponta Delgada,PT,63.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
621,Springfield,US,38.43,overcast clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
625,Neustrelitz,DE,36.43,overcast clouds,53.3667,13.0833,Park Hotel Fasanerie Neustrelitz
626,Sisimiut,GL,33.67,snow,66.9395,-53.6735,Hotel Sisimiut
627,Nieuw Amsterdam,SR,82.56,scattered clouds,5.8833,-55.0833,Hotel Stardust
629,Cabedelo,BR,88.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
630,Mikkeli,FI,35.71,overcast clouds,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
631,Boa Vista,BR,93.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
632,Rutana,BI,58.51,light rain,-3.8667,30.1,Failles des Allemands
633,Seminole,US,75.29,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
634,Vallenar,CL,86.29,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
636,Pont-Saint-Esprit,FR,45.0,scattered clouds,44.2549,4.6474,Hôtel Le Mas de l'Olivier
637,Ormara,PK,72.45,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
638,Vagur,FO,33.64,overcast clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
639,Warangal,IN,67.42,few clouds,18.0,79.5833,Supreme Hotels
640,Marovoay,MG,75.34,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
641,Sao Miguel Do Araguaia,BR,82.53,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
642,Janauba,BR,86.23,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
643,Mehamn,NO,32.18,snow,71.0357,27.8492,Mehamn Arctic Hotel AS
645,Santa Maria,BR,96.1,few clouds,-29.6842,-53.8069,Hotel Morotin
646,Darab,IR,51.48,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
647,Suffolk,US,46.99,clear sky,40.8668,-72.7996,Greenwood Village
648,Kismayo,SO,78.67,clear sky,-0.3582,42.5454,Agan-Hotel
649,Straumen,NO,30.94,light snow,63.8709,11.2999,Jægtvolden Fjordhotell
650,Iquique,CL,74.32,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
651,Eyl,SO,76.82,overcast clouds,7.9803,49.8164,Amiin Hotel
652,Chaman,PK,49.73,few clouds,30.9236,66.4512,Niamat parda Center chaman
653,Riberalta,BO,89.8,broken clouds,-10.9833,-66.1,Hotel Colonial
654,Prieska,ZA,89.38,clear sky,-29.6641,22.7474,Avenue GuestHouse
655,Pudozh,RU,31.71,snow,61.8099,36.5345,Guest-House na Transportnoy
657,Pathanamthitta,IN,72.55,broken clouds,9.2667,76.7833,Vijaya Residency
658,Samfya,ZM,65.62,light rain,-11.3649,29.5565,Chita Lodge Samfya
660,Santa Ana,US,63.86,haze,33.7456,-117.8678,Santa Ana Travel Inn
661,Bardiyah,LY,53.38,broken clouds,31.7561,25.0865,بورتو بردية
663,Tucuman,AR,73.4,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
664,Malanje,AO,65.19,overcast clouds,-9.5402,16.341,Hotel Ginga
667,Kanker,IN,59.2,clear sky,20.2719,81.4931,STARiHOTEL Kanker
668,Le Vauclin,MQ,83.84,light rain,14.5452,-60.8388,Hôtel Cap Macabou
