City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Vangaindrano,MG,-23.35,47.6,75.34,77,98,10.07,overcast clouds
307,Yarada,IN,17.65,83.2667,70.12,88,20,2.3,mist
308,Boralday,KZ,43.3578,76.8594,40.87,81,100,15.66,mist
309,Sompeta,IN,18.9333,84.6,67.15,70,1,2.95,clear sky
310,Carolina,PR,18.3808,-65.9574,85.71,66,20,18.41,few clouds
311,Mahibadhoo,MV,3.7833,72.9667,82.06,74,95,11.95,overcast clouds
312,Vista Hermosa,MX,19.5167,-99.2167,65.59,35,0,0.0,clear sky
313,Rodrigues Alves,BR,-7.738,-72.6509,91.04,52,98,2.08,heavy intensity rain
314,Honningsvag,NO,70.9821,25.9704,31.75,80,40,36.82,light shower snow
315,El Jicaro,GT,14.9167,-89.9,87.01,40,7,1.66,clear sky
316,Hun,LY,29.1268,15.9477,55.58,57,51,10.25,broken clouds
317,Arlit,NE,18.7369,7.3853,62.46,20,0,3.53,clear sky
318,Monrovia,LR,6.3005,-10.7969,87.57,64,26,10.04,scattered clouds
319,Corning,US,42.1428,-77.0547,42.49,73,69,14.79,broken clouds
320,Cayenne,GF,4.9333,-52.3333,82.44,88,75,5.01,light rain
321,Hualmay,PE,-11.0964,-77.6139,77.23,72,74,12.48,broken clouds
322,Batticaloa,LK,7.7102,81.6924,77.4,70,100,10.09,overcast clouds
323,Klaksvik,FO,62.2266,-6.589,31.12,63,100,30.78,overcast clouds
324,Asosa,ET,10.0667,34.5333,63.99,32,46,5.39,scattered clouds
325,Zyryanovsk,KZ,49.7386,84.2719,25.14,97,100,2.73,snow
326,Takoradi,GH,4.8845,-1.7554,82.2,69,73,6.29,broken clouds
327,Synya,RU,65.3718,58.0387,10.45,91,100,13.6,overcast clouds
328,Lypova Dolyna,UA,50.5643,33.7979,10.99,97,65,3.96,broken clouds
329,Hambantota,LK,6.1241,81.1185,75.85,74,90,13.91,overcast clouds
330,Ylivieska,FI,64.0833,24.55,34.88,88,100,9.82,light snow
331,Ilulissat,GL,69.2167,-51.1,39.22,56,75,19.57,broken clouds
332,Zhelyabovka,UA,45.3988,34.7578,26.47,74,93,8.7,overcast clouds
333,Salinopolis,BR,-0.6136,-47.3561,82.51,71,86,12.03,overcast clouds
334,Heiloo,NL,52.6,4.7,46.36,71,92,7.0,overcast clouds
335,Wysokie Mazowieckie,PL,52.9166,22.5171,34.38,96,100,12.01,overcast clouds
336,Anastacio,BR,-20.4836,-55.8069,99.5,27,61,1.12,heavy intensity rain
337,Khorixas,NA,-20.3667,14.9667,69.89,76,95,20.87,moderate rain
338,Beloha,MG,-25.1667,45.05,70.88,77,3,8.95,clear sky
339,Mangaluru,IN,12.8667,74.8833,77.86,69,5,0.0,clear sky
340,Salvador,SV,13.8333,-88.9167,82.8,32,4,2.71,clear sky
341,Tiznit,MA,29.5833,-9.5,60.21,34,57,1.19,broken clouds
342,Saint-Ambroise,CA,48.5501,-71.3324,2.57,95,100,6.64,light snow
343,Mana,GF,5.6592,-53.7767,76.48,91,99,8.48,light rain
344,Pontes E Lacerda,BR,-15.2261,-59.3353,89.46,48,85,4.23,overcast clouds
345,Sol-Iletsk,RU,51.1631,54.9918,5.07,92,100,8.03,overcast clouds
346,Black River,JM,18.0264,-77.8487,81.99,60,5,10.25,clear sky
347,Jumla,NP,29.2747,82.1838,37.98,93,94,3.2,overcast clouds
348,Umm Lajj,SA,25.0213,37.2685,64.65,51,43,13.69,scattered clouds
349,Gamarra,CO,8.3228,-73.7427,98.53,31,6,1.86,clear sky
350,Kolondieba,ML,11.0882,-6.8926,84.94,9,6,6.11,clear sky
351,Inirida,CO,3.8653,-67.9239,92.89,45,84,3.6,broken clouds
352,Yar-Sale,RU,66.8333,70.8333,-8.77,100,99,5.06,overcast clouds
353,Taltal,CL,-25.4,-70.4833,71.37,71,26,9.44,scattered clouds
354,Zmeinogorsk,RU,51.1567,82.195,9.97,97,100,9.46,overcast clouds
355,Thinadhoo,MV,0.5333,72.9333,81.73,74,94,10.6,overcast clouds
356,Talnakh,RU,69.4865,88.3972,4.28,97,100,7.72,light snow
357,Oschatz,DE,51.3,13.1167,41.02,78,82,17.27,broken clouds
358,Maceio,BR,-9.6658,-35.7353,90.84,45,0,13.8,clear sky
359,Lisakovsk,KZ,52.5369,62.4936,3.29,94,99,7.65,overcast clouds
360,Barra Do Garcas,BR,-15.89,-52.2567,82.98,61,40,9.22,thunderstorm
361,Pinheiro Machado,BR,-31.5783,-53.3811,90.05,60,51,8.63,broken clouds
362,Vestmanna,FO,62.1564,-7.1664,29.32,59,75,25.32,broken clouds
363,Ngaoundere,CM,7.3167,13.5833,65.8,24,19,5.97,few clouds
364,Charlestown,AU,-32.95,151.6667,71.73,77,83,5.01,broken clouds
365,Togur,RU,58.3631,82.8265,13.23,93,100,7.87,overcast clouds
366,Awbari,LY,26.5921,12.7805,53.01,45,5,7.34,clear sky
367,Bogovarovo,RU,58.9785,47.0246,-0.71,100,93,5.03,overcast clouds
368,Dvinskoy,RU,62.1535,45.1175,15.96,89,100,10.8,light snow
